category,name,description
Household,"Painting Mantra 'Vintage Car' Art Printing Set (Synthetic Wood, 60 cm x 50 cm x 2 cm, Brown, Set of 4)","Painting Mantra 'Vintage Car' Art Printing Set (Synthetic Wood, 60 cm x 50 cm x 2 cm, Brown, Set of 4) Size:60 cm x 50 cm x 2 cm From the house of art street, we bring this exclusive framed poster to satiate the taste of decor freaks and vintage cars lovers. The filling station-vintage car brown framed poster is a high resolution vintage poster which comes covered in a brown frame."
Household,"Indianara Motivational Square Synthetic Wood Art Painting (23 cm x 23 cm x 6 cm, Set of 4, Multicolor)","Indianara Motivational Square Synthetic Wood Art Painting (23 cm x 23 cm x 6 cm, Set of 4, Multicolor)"
Household,Tamatina Fabric Raja Ravi Varma Hamsa Damyanthi Academic Art Decor Canvas Paintings (Multicolour),"Tamatina Fabric Raja Ravi Varma Hamsa Damyanthi Academic Art Decor Canvas Paintings (Multicolour) Size:Large/23x35 inches We at tamatina-tm are excited to bring you a fine line of canvas paintings. We work very hard, hand picking designs best suited for canvas art ; then fine tuning images ; trials till we achieve what we can impress you with. We just want you to feel awesome, when you admire it hanging on the wall."
Household,Posterhouzz Comics Superhero Thor Joker Black Panther Ultron Daredevil Deadpool Flash STA.,"Posterhouzz Comics Superhero Thor Joker Black Panther Ultron Daredevil Deadpool Flash STA. Fine Art Paper Print Poster_** ABO397 Creative, digitally printed paper posters for your home or office. Funny, inspiring and lovable designs to choose from. This Poster Is for framing. Spruce up your home with a fantastic of Wall Art from Posterhouzz."
Household,ART DIOR,"ART DIOR | Set of 3 Modern Art Prints - Winter Tree Printed on a Single Print | Canvas Wall Art | Unframed Canvas Art Print| 18 inch x 46 inch Enclosure Material:Canvas Art Print | Size:18"" x 46"" Art Print Only Giclée art from Creative team of Art Dior. Printed by dedicated art printer on Epson 9900 on very specialized coated canvas to bring out brush stroke details, brilliance of colors, dimensional stability and lasting colors for archival use."
Household,ART DIOR,"ART DIOR | Dancing Village Girls | Canvas Wall Art | Unframed Canvas Art Print | 18 inch x 46 inch | Enclosure Material:Canvas Art Print | Size:18"" x 46"" Art Print Only Giclée art from Creative team of Art Dior. Printed by dedicated art printer on Epson 9900 on very specialized coated canvas to bring out brush stroke details, brilliance of colors, dimensional stability and lasting colors for archival use."
Household,"Painting Mantra Synthetic Wood Art Street Tropical Framed Canvas Art Print (11 X 13 inch, Green)","Painting Mantra Synthetic Wood Art Street Tropical Framed Canvas Art Print (11 X 13 inch, Green) Color:color - green|| theme - tropical green Make a blank space pop with rad art prints. Better yet, start a gallery wall and mix art prints, posters, canvas prints and framed prints of all sizes to elevate your space with the design. This art print is printed on gallery canvas natural white color, matte, and ultra smooth texture. Box frame used which highlight the print even more."
Household,ART DIOR,"ART DIOR | 8 Running Horses | Canvas Wall Art | Unframed Canvas Art Print | 18 inch x 46 inch | Enclosure Material:Canvas Art Print | Size:18"" x 46"" Art Print Only Giclée art from Creative team of Art Dior. Printed by dedicated art printer on Epson 9900 on very specialized coated canvas to bring out brush stroke details, brilliance of colors, dimensional stability and lasting colors for archival use."
Household,"Streetkart Women's & Girl's Traditional Kutchi Art Work Sling Bag/Fashionable Sling Bag for Women/Stylish Polyester Sling Bag for Casual & Formal Wear Give you new look by carry this Hand-crafted embroidered Sling Bag from the house of Streetkart .This handbag are specially design by Artisans from kutchh .This is one of the most stylish and popular design of Sling Bag, suitable for both young girls and women.","Streetkart Women's & Girl's Traditional Kutchi Art Work Sling Bag/Fashionable Sling Bag for Women/Stylish Polyester Sling Bag for Casual & Formal Wear Give you new look by carry this Hand-crafted embroidered Sling Bag from the house of Streetkart .This handbag are specially design by Artisans from kutchh .This is one of the most stylish and popular design of Sling Bag, suitable for both young girls and women."
Household,"SAF 'Buddha Religious' Painting (Synthetic, 13.5 inch x 22 inch, SA30)","SAF 'Buddha Religious' Painting (Synthetic, 13.5 inch x 22 inch, SA30) Color:multicolour | Size:35 cm x 3 cm x 50 cm It is a textured effect canvas print with UV which gives a multi-effect. It is in a Italian designed frame in a synthetic material."
Household,"SAF Framed Painting (Wood, 15 inch x 18 inch, Set of 3)","SAF Framed Painting (Wood, 15 inch x 18 inch, Set of 3) Painting made up in synthetic frame with UV textured print which gives multi-effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. A perfect gift for your special ones."
Household,"SAF Premium Butterfly Diamond Cut 4 Panel Ink Painting (Synthetic, 57 cm x 101 cm x 2 cm, Set of 4)","SAF Premium Butterfly Diamond Cut 4 Panel Ink Painting (Synthetic, 57 cm x 101 cm x 2 cm, Set of 4) Overview a beautiful painting involves the action or skill of using paint in the right manner. Hence, the end product will be a picture that can speak a thousand words they say. Arts have been in trend for quite some time now. It can give different viewer different meanings style and design the SAF wood matte abstract painting with frame is quite abstract and mysteriously beautiful."
Household,"Art Street Shooting Star Set of 16 Individual Photo Frame- Multiple Size (3 Units of 8x10, 4 Units of 6x8, 4 Units of 5x7, 3 Units of 4x6, 2 Units of 6x10) live your golden memories by decorating your place with photographs.","Art Street Shooting Star Set of 16 Individual Photo Frame- Multiple Size (3 Units of 8x10, 4 Units of 6x8, 4 Units of 5x7, 3 Units of 4x6, 2 Units of 6x10) live your golden memories by decorating your place with photographs. Bright colours and specially handcrafted artistic make, give these pieces a vibrant and modish touch to the plain walls of your living space. Give a personalized touch to your gifts by picking one of these pieces."
Household,"Indianara Square Synthetic Wood Framed Wall Hanging Art Painting (22.49 cm x 22.49 cm x 3.5 cm, Set of 4)","Indianara Square Synthetic Wood Framed Wall Hanging Art Painting (22.49 cm x 22.49 cm x 3.5 cm, Set of 4) Adorn the walls of your living space with this exquisitely made, aesthetically pleasing, and visually stimulating 4 piece set of framed wall hanging art print. The frames are made of brown synthetic wood and will breathe a fresh life in the walls of your room."
Household,"SAF 'Ganesha' Framed Painting (Wood, 12 inch x 12 inch)","SAF 'Ganesha' Framed Painting (Wood, 12 inch x 12 inch)"
Household,"SAF 'Flower Floral' Painting (Synthetic, 13.5 inch x 22 inch)","SAF 'Flower Floral' Painting (Synthetic, 13.5 inch x 22 inch) Color:Multicolour | Size:35 cm x 3 cm x 38 cm It is a textured effect canvas print with UV which gives a multi-effect. It is in a Italian designed frame in a synthetic material."
Household,"SAF 'Ganesha' Painting (Wood, 12 inch x 12 inch, Special Effect Textured, SAO97)","SAF 'Ganesha' Painting (Wood, 12 inch x 12 inch, Special Effect Textured, SAO97) Painting made up in synthetic frame with UV textured print which gives multi-effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. A perfect gift for your special ones."
Household,"SAF 'Radha Krishna' Wall Painting (Synthetic, 30 cm x 30 cm x 2 cm)","SAF 'Radha Krishna' Wall Painting (Synthetic, 30 cm x 30 cm x 2 cm) Overview a beautiful painting involves the action or skill of using paint in the right manner; hence, the end product will be a picture that can speak a thousand words they say. Arts have been in trend for quite some time now. It can give different viewer different meanings style and design the saf wood matte abstract painting with frame is quite abstract and mysteriously beautiful. The painting has a nice frame to it."
Household,"SAF 'Ganesh' Framed Painting (Synthetic, 13.5 inch x 22 inch, Modern Art Wood, Set of 3, SANFSAS7500)","SAF 'Ganesh' Framed Painting (Synthetic, 13.5 inch x 22 inch, Modern Art Wood, Set of 3, SANFSAS7500) Special series of high definition prints is designed in a very extraordinary way by using a quality of eye popping colors which puts a very attracting reflection towards it. Also it is framed in Black Synthetic Frame in a Italian Design. A perfect choice for your Home & for your specials."
Household,"Sehaz Artworks 'Our Memories' Pasted Wood Photo Album (22 cm x 16 cm x 4 cm, Brown)","Sehaz Artworks 'Our Memories' Pasted Wood Photo Album (22 cm x 16 cm x 4 cm, Brown) Color:OurMemo Paper material, inside pages high quality black card. Square Size: 26cm x 16cm. Inside pages number 30 pages. (Each page can be double-sided use). Capacity: Totally depends on your photo size, 5 inch, 6 inch 2 per surface, 7 inch 1 per surface, 8 inch 1 per surface, other abnormal size requires that you own album."
Household,"Sehaz Artworks Side Shelf Pocket Wooden Key Holder (25 cm x 11 cm x 0.3 cm, Brown)","Sehaz Artworks Side Shelf Pocket Wooden Key Holder (25 cm x 11 cm x 0.3 cm, Brown) Color:Side-ShelfPocket-Brown-KeyHolder It is real trouble when you lose your keys. You have to make little space in your house where you can put your keys. So be creative and make that space interesting and stylish by Sehaz Artworks key holder that will awake your imagination. We present you 7 hooks Sehaz Artworks key holder."
Household,Sehaz Artworks Home-Side-Shelf-WT-KeyHolder Wooden Key Holder (7 Hooks),Sehaz Artworks Home-Side-Shelf-WT-KeyHolder Wooden Key Holder (7 Hooks) Sehaz Artworks Home Side Shelf with Wooden Key Holder. It has 7 hooks and is in brown colour.
Household,"Sehaz Artworks 'Colourful Dog' Wall Sticker (Vinyl, 30 cm x 3 cm x 3 cm)","Sehaz Artworks 'Colourful Dog' Wall Sticker (Vinyl, 30 cm x 3 cm x 3 cm) The Sehaz Artworks vinyl sticker an affordable and fun way to decorate. Can be applied to your wall, door, mirror, tile, stainless steel, glass, plastic or any smooth or semi smooth, non-porous, clean surface. These are applied like a large sticker and give you the look of stenciling without all the paint mess! These do not have a background of any kind."
Household,"Artworks: Meaning, Definition, Value","Artworks: Meaning, Definition, Value Review ""Artworks offers a thorough, balanced, and incisive account of the important positions on this issue and makes an interesting and persuasive case for a position that is intuitively attractive."" --Anita Silvers, San Francisco University ""His book makes a valuable contribution to the ongoing debates and one can only admire Stecker's mastery of so many subtle points and arguments."" --Stein Haugom Olsen,"
Household,"Sehaz Artworks Round Wooden Wall Clock (25.5 cm x 25.5 cm x 2.8 cm, Beige, SZA-PWC-12-Butterflies)","Sehaz Artworks Round Wooden Wall Clock (25.5 cm x 25.5 cm x 2.8 cm, Beige, SZA-PWC-12-Butterflies) This is a classic styled analog wall clock made from wood. This clock will add charm to any room in your home. There is a plastic shell casing behind the clock for batteries. Only one AA battery is required for this clock (not included). This Sehaz Artworks wall clock can be a good gift at housewarmings, weddings and social gatherings. Decorate your home with this wall clock."
Household,InstaNote Weekly Planner Pad - A4 80 Sheets Multicolor Artwork Weekly planner are a great addition to a personal planner letting you keep track of all the things you need to do each week.,InstaNote Weekly Planner Pad - A4 80 Sheets Multicolor Artwork Weekly planner are a great addition to a personal planner letting you keep track of all the things you need to do each week. It has 80 pages with 8 Artworks printed in Color and Pad Binding done.
Household,"SAF Framed Painting (Wood, 12 inch x 18 inch, Textured UV Reprint, SAO468)","SAF Framed Painting (Wood, 12 inch x 18 inch, Textured UV Reprint, SAO468) Painting made up in synthetic frame with UV textured print which gives multi-effects and attracts towards it. This is an special series of paintings which makes your wall very beautiful and gives a royal touch. A perfect gift for your special ones."
Household,"Sehaz Artworks 'Baby Love' Scrap Book Photo Album (MDF, 30 cm x 21 cm x 3 cm, Brown)","Sehaz Artworks 'Baby Love' Scrap Book Photo Album (MDF, 30 cm x 21 cm x 3 cm, Brown) Color:BabyLove_A4-ScrapBook Please Note: The product is a Scrap book, and has black sheets instead of pouch sheets, do not consider it as a classic photo album, it is a scrap book photo album."
Household,"Sehaz Artworks Tree Bird Round Wood Wall Clock (25 cm x 25 cm x 2.8 cm, Brown)","Sehaz Artworks Tree Bird Round Wood Wall Clock (25 cm x 25 cm x 2.8 cm, Brown) Color:Wood This is a classic styled analog wall clock made from wood. This clock will add charm to any room in your home. There is a plastic shell casing behind the clock for batteries. Only one AA battery is required for this clock (Not included). This Sehaz Artworks wall clock can be a good gift at housewarmings, weddings and social gatherings. Decorate your home with this wall clock."
Household,"SAF 'Ganesh' Framed Painting (Synthetic, 13.5 inch x 22 inch, Modern Art Wood, Set of 3, SANFSAS7500)","SAF 'Ganesh' Framed Painting (Synthetic, 13.5 inch x 22 inch, Modern Art Wood, Set of 3, SANFSAS7500) Color:multicolour Special series of high definition prints is designed in a very extraordinary way by using a quality of eye popping colors which puts a very attracting reflection towards it. Also it is framed in Black Synthetic Frame in a Italian Design. A perfect choice for your Home & for your specials."
Household,Pikkme Colorful Dog Animal Palm Impression Pink Blue Art Work Designer Printed Hard Back Case and Cover for Oppo F7 (Best for Girls/Women),"Pikkme Colorful Dog Animal Palm Impression Pink Blue Art Work Designer Printed Hard Back Case and Cover for Oppo F7 (Best for Girls/Women) Unique product by Pikkme Made with cutting edge sublimation printing technology, this polymer phone case by Pikkme is capable of withstanding a lot of intensive use without suffering as much as a scratch. The only phone case for mobile model Oppo F7 is intended specifically for and fits the dimensions of this phone while leaving almost no space in between."
Household,"Paper Plane Design Inspirational Posters (Paper, 30.48 cm X 0.65 cm X 45.72 cm, Multicolour, Set of 6, Posters_2018_Design: 66)","Paper Plane Design Inspirational Posters (Paper, 30.48 cm X 0.65 cm X 45.72 cm, Multicolour, Set of 6, Posters_2018_Design: 66) The only way to finish is to start - we often fear to begin our dream journey because we are apprehensive of the results but we forget that we can reach our goals only if we start acting on them. This unframed quote will serve as a constant reminder that you need to start as soon as possible to make it happen."
Household,ESP Creation Friends Paper Poster (Multicolour),ESP Creation Friends Paper Poster (Multicolour) This poster comes with portrait mode and are ideal friendship day presents.
Household,"Posterboy 'Chimps' Poster (30.5 cm x 45.7 cm, Multicolor)","Posterboy 'Chimps' Poster (30.5 cm x 45.7 cm, Multicolor)"
Household,"Paper Plane Design Posters (Paper, 45 cm X 0.5 cm X 30 cm, Multicolour, 117Poster_406)","Paper Plane Design Posters (Paper, 45 cm X 0.5 cm X 30 cm, Multicolour, 117Poster_406) Beautify, inspire, motivate, lighten up, liven up and exhilarate your surroundings with huge and super interesting range of wall posters line up. Quotes for home, office, kitchen, bedroom, dining, dorm room, hostel, on your cupboard or anywhere you like."
Household,"100yellow Paper Buddha Posters, 12x18 Inches (Multicolour)","100yellow Paper Buddha Posters, 12x18 Inches (Multicolour)"
Household,"TECHBITE Quotes Posters for Room (Thick Paper, 12x18-inch)","TECHBITE Quotes Posters for Room (Thick Paper, 12x18-inch) Color:1 | Size:12 x 18 inch Posters Funny, motivational, inspiring quotes and images. Decorate your bed room or home. 3 Sizes available in HD quality self adhesive with pre installed gumming strips."
Household,"Bikri Kendra Paper Friends Poster(30x45cm, Multicolour)","Bikri Kendra Paper Friends Poster(30x45cm, Multicolour) For more attractive POSTER search BIKRIKENDRA. presents good quality paper print poster,decorate your walls with this poster,easy to frame and makes a great gift too,ships quickly and safely in a sturdy protective tube,Decorate and give a classic look to your room with this poster from the house of BIKRIKENDRA. This poster is one of the beautiful things to decorate your room with."
Household,Posterboy 'Warning - No Stupid People' Poster (30.5 cm x 45.7 cm),"Posterboy 'Warning - No Stupid People' Poster (30.5 cm x 45.7 cm) Humorous Addition to Your Room Display your attitude with the Posterboy Warning - No Stupid People poster. This humorous poster reads 'Warning - No Stupid People Beyond this Point'. It makes a witty addition to a wall, door or entryway. The letters in this humour wall poster are bold and dynamic and are sure to capture the attention of your family and visitors. This poster has a multicoloured backdrop with minimal illustrations."
Household,"Posterboy 'Murphy's Law' Poster (30.5 cm x 45.7 cm, Multicolor)","Posterboy 'Murphy's Law' Poster (30.5 cm x 45.7 cm, Multicolor)"
Household,"Paper Plane Design Inspirational Posters (Paper, 30.48 cm X 0.65 cm X 45.72 cm, Multicolour, Set of 6, Posters_2018_Design: 58Single)","Paper Plane Design Inspirational Posters (Paper, 30.48 cm X 0.65 cm X 45.72 cm, Multicolour, Set of 6, Posters_2018_Design: 58Single) The only way to finish is to start - we often fear to begin our dream journey because we are apprehensive of the results but we forget that we can reach our goals only if we start acting on them. This unframed quote will serve as a constant reminder that you need to start as soon as possible to make it happen."
Household,"AdINFINITUM 300GSM Marvel Superhero Printed Paper Poster, 9x13 Inches(Multicolour, 84) - Set of 8 SHOW YOUR SUPERHERO LOVE.","AdINFINITUM 300GSM Marvel Superhero Printed Paper Poster, 9x13 Inches(Multicolour, 84) - Set of 8 SHOW YOUR SUPERHERO LOVE. Perfect colors, Creative design, digitally printed high quality 300 gsm paper posters for your home, office. Funny, inspiring and lovable designs to choose from. Make your walls look eye catching and creative with our large collection of posters. WE BELIEVE IN QUALITY AND PROVIDE OUR CUSTOMERS THE SAME"
Household,"Inephos Funny Paper Posters for Room (Pink, 12 x 18- inch)","Inephos Funny Paper Posters for Room (Pink, 12 x 18- inch)"
Household,"Bikri Kendra Keep Your Chappal and Attitude Paper Poster, 30X45cms, Multicolour For more attractive poster search bikrikendra.","Bikri Kendra Keep Your Chappal and Attitude Paper Poster, 30X45cms, Multicolour For more attractive poster search bikrikendra. Presents quality paper print poster,decorate your walls with this poster,easy to frame and makes a great gift too,ships quickly and safely in a sturdy protective tube,decorate and give a classic look to your room with this poster from the house of bikrikendra. This poster is one of the beautiful things to decorate your room with."
Household,"AdINFINITUM Marvel Superhero 300GSM Paper Posters(8x12-inches, Multicolour) - Pack of 5 Show your superhero love.","AdINFINITUM Marvel Superhero 300GSM Paper Posters(8x12-inches, Multicolour) - Pack of 5 Show your superhero love. Perfect colors, creative design, digitally printed superior quality 300 gsm paper posters for your home, office. Funny, inspiring and lovable designs to choose from. Make your walls look eye catching and creative with our large collection of posters. We believe in quality and provide our people the same."
Household,"100yellow Inspiring Design Quotes and Messages Paper Poster (Multicolour, 12x18)","100yellow Inspiring Design Quotes and Messages Paper Poster (Multicolour, 12x18)"
Household,"Party Propz Swirls for Decorations, (Multicolour)","Party Propz Swirls for Decorations, (Multicolour)"
Household,"Rozi Decoration Happy Birthday Foil Toy Balloon, Blue (Pack of 13 Letters)","Rozi Decoration Happy Birthday Foil Toy Balloon, Blue (Pack of 13 Letters) Color:Blue Add a little extra shine to your gold birthday decorations with air-filled. These gold foil balloon banners inflate to read ""happy"" and ""b-day."" Mix and match them with other silver letter or number balloons to add to the message. Tape these gold letter balloon banners to the wall or use them as unique photo props."
Household,Theme My Party Latex Metallic HD Balloons (Golden/Silver & Brown_Pack of 50),"Theme My Party Latex Metallic HD Balloons (Golden/Silver & Brown_Pack of 50) Color:Golden, Silver & Brown This Package contains uninflated 50 pcs premium quality metallic HD finish 9"" inch balloons. Great for small and large events decoration. Blow them up with either your mouth, air balloon pump, or helium."
Household,Party Propz Decoration Set Combo (Set of 62) (2 Golden Foil Curtain+50 Gold Metallic Balloon),Party Propz Decoration Set Combo (Set of 62) (2 Golden Foil Curtain+50 Gold Metallic Balloon)
Household,Archana Nhr Decoration Large Balloon Pack Of 100 Pieces (Blue & White),"Archana Nhr Decoration Large Balloon Pack Of 100 Pieces (Blue & White) Color:Blue NHR balloons are beautiful and fun addition to any party. No party would seem complete without balloons to play around with. Balloons are not just for kids parties, they can be used anywhere anytime and for any occasion you wish to celebrate. Whether it is a party in the office, a Christmas bash, a baby shower, wedding, or a casual party for friends, balloons seem to be an essential of party supplies."
Household,Balaji Art Cotton Wedding Multicolour Umbrella This handcrafted umbrella made up of cotton cloth is essential for the approaching summer season.,Balaji Art Cotton Wedding Multicolour Umbrella This handcrafted umbrella made up of cotton cloth is essential for the approaching summer season. Prepared by traditional artisans of Jaipur the exclusive elephant print design is decorated with the sparkling beads work on the top of the umbrella.
Household,Embroiderymaterial Aari Embroidery Needles for Beading and Embroidery Work Purpose (Pack of 4 Needles),"Embroiderymaterial Aari Embroidery Needles for Beading and Embroidery Work Purpose (Pack of 4 Needles) These needles are particularly used for doing aari embroidery work with beads, sequins, french wire and thread. These needles have an iron handle which is wrapped with thread to provide a nice grip. This is the festive collection of the needle and would be perfect for doing effortless embroidery work"
Household,Imported Universal Quilting Embroidery Presser Foot for Sewing Machine,Imported Universal Quilting Embroidery Presser Foot for Sewing Machine Description:- Darning freehand embroidery hopper free motion quilt foot for BROTHER JANOME SINGER This foot can be used for free hand embroidery (like drawing with stitches) and for quilting designs This attachment is an ideal addition to your sewing machine and makes a welcome gift for a keen sewer.
Household,"Am Wooden Embroidery Hoop/Frame for Crafters & Designers, Set Of 5-Different Sizes 4, 6, 8, 10, 12 Inches Wooden Embroidery Hoops For Crafting A Number Of Designs.","Am Wooden Embroidery Hoop/Frame for Crafters & Designers, Set Of 5-Different Sizes 4, 6, 8, 10, 12 Inches Wooden Embroidery Hoops For Crafting A Number Of Designs. Available In A Variety Of Sizes You Can Select The Shape And Size Of The Embroidery Pattern As Desired."
Household,"Sewn Golden Colour Seed Beads For Embroidery/Superior Quality/Size seed beads used for design dress materials ,like churidhar saree, dhuppatta.and all type of dresses.Also used for art and craft work.it give a speccial attraction for the resses and craft works,its high quality material.","Sewn Golden Colour Seed Beads For Embroidery/Superior Quality/Size seed beads used for design dress materials ,like churidhar saree, dhuppatta.and all type of dresses.Also used for art and craft work.it give a speccial attraction for the resses and craft works,its high quality material."
Household,"iCraft RN281 Cotton Embroidery Thread Set (Multicolor, Pack of 100)","iCraft RN281 Cotton Embroidery Thread Set (Multicolor, Pack of 100) The set of items include 100 thread of multi-color professional and practical cross stitch and embroidery design and each thread is 8 meters and 26 feet in length. The embroidery thread are made of durable soft polyester cotton material. Must special for cross stitch lovers for embroidery flowers, fruits, animals, natural sceneries, cartoon characters and other art and craft project works."
Household,Embroidery Kit for Beginners DIY Kit Total 15 Iteam This embroidery kit is consists of all the basic items that a beginner will require to learn embroidery.,Embroidery Kit for Beginners DIY Kit Total 15 Iteam This embroidery kit is consists of all the basic items that a beginner will require to learn embroidery. This kit can also be a perfect gift for your loved ones.
Household,AsianHobbyCrafts Wooden Embroidery Hoop Ring Frame (3 Pieces),"AsianHobbyCrafts Wooden Embroidery Hoop Ring Frame (3 Pieces) Style Name:Assorted A Asian Hobby Crafts embroidery collection comprises of embroidery frames (in various sizes), cross stitch fabric, embroidery tools, embroidery wool. This embroidery hoop frame is made of well finished wood with a easy-to-adjust screw mounted on the frame to tighten the fabric. Cross stitch art is a phenomenal art form which involves intricate stitching techniques to form beautiful designs on fabric."
Household,"Lovely Arts Collection Hand Embroidered Cotton Thread Skeins for Craft Projects, Multicolour (Pack of 25) -LAC97 Package includes 25 skeins, two each of 12 colors.","Lovely Arts Collection Hand Embroidered Cotton Thread Skeins for Craft Projects, Multicolour (Pack of 25) -LAC97 Package includes 25 skeins, two each of 12 colors. Each skein is 8 yards long. This quality embroidery floss can be used in a multitude of craft projects, including needlecraft, friendship bracelets, stringing beads, and more. Non-toxic."
Household,"Anchor Stranded Cotton Assorted Skeins Stitch Kit, 8m (Fast colour-4624-02222, 50 Skiens, 2 of Each 25 Shades)","Anchor Stranded Cotton Assorted Skeins Stitch Kit, 8m (Fast colour-4624-02222, 50 Skiens, 2 of Each 25 Shades) Anchor stranded cotton is the most popular hand embroidery thread all over the world. A superior 6-strand thread, made from the best egyptian cotton is ideal for all forms of embroidery. Ideal for embroidery, knitting, crotchet & thread art"
Household,Asian Hobby Crafts Wooden Embroidery Hoop Ring Frame (5 Pieces),"Asian Hobby Crafts Wooden Embroidery Hoop Ring Frame (5 Pieces) Style Name:Assorted B Asian Hobby Crafts embroidery collection comprises of embroidery frames (in various sizes), cross stitch fabric, embroidery tools, embroidery wool. This embroidery hoop frame is made of well finished wood with a easy-to-adjust screw mounted on the frame to tighten the fabric. Cross stitch art is a phenomenal art form which involves intricate stitching techniques to form beautiful designs on fabric."
